ko_id	seed_ids	definition	kegg_ids
K22355	rxn03744	alkene monooxygenase coupling protein	R05444;R11901
K21029	rxn07291	molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	R07459
K21028	rxn07293	molybdopterin synthase sulfurtransferase [EC:2.8.1.11]	R07461
K22359	rxn03744	alkene monooxygenase gamma subunit [EC:1.14.13.69]	R05444;R11901
K08068	rxn00292	UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]	R00414
K22321	rxn14362;rxn14133	aliphatic desulfoglucosinolate sulfotransferase [EC:2.8.2.38]	R11888;R11887;R08669;R08671
K22326	rxn04107	vinorine hydroxylase [EC:1.14.14.104]	R05877
K10353	rxn01508	deoxyadenosine kinase [EC:2.7.1.76]	R02089
K23662	rxn15888	cytochrome P450 family 98 subfamily A polypeptide 9 [EC:1.14.13.-]	R08984
K08049	rxn00307;rxn00065	adenylate cyclase 9 [EC:4.6.1.1]	R00089;R00434
K22336	rxn00056	bacterioferritin B [EC:1.16.3.1]	R00078
K08047	rxn00307;rxn00065	adenylate cyclase 7 [EC:4.6.1.1]	R00089;R00434
K08048	rxn00307;rxn00065	adenylate cyclase 8 [EC:4.6.1.1]	R00089;R00434
K21071	rxn00551;rxn02314;rxn15298;rxn15493;rxn00545	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	R02073;R03236;R04779;R00764;R00756
K00919	rxn03908	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	R05634
K00917	rxn02314	tagatose 6-phosphate kinase [EC:2.7.1.144]	R03236
K00918	rxn15952;rxn15953;rxn04043;rxn15954	ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]	R05805;R09084;R09085;R09086
K00915	rxn23463;rxn04040;rxn04041;rxn02489	inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]	R10953;R05801;R10065;R03478;R05800
K00913	rxn02457;rxn02456;rxn02490	inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase [EC:2.7.1.159 2.7.1.134]	R03479;R03428;R03429
K00914	rxn06366;rxn39392	phosphatidylinositol 3-kinase [EC:2.7.1.137]	R03362
K12902	rxn14364	phosphonoacetaldehyde methylase [EC:2.1.1.308]	R08862;R12497
K12901	rxn15826	phosphonoacetaldehyde reductase	R08861
K12908	rxn14100	phosphonoformate cytidylyltransferase [EC:2.7.7.93]	R08867
K12907	rxn15830	aldehyde dehydrogenase	R08866
K12909	rxn14022;rxn03501;rxn14060	carboxyvinyl-carboxyphosphonate phosphorylmutase [EC:2.7.8.23]	R05165;R08868;R08869
K12904	rxn16322	phosphonoacetaldehyde reductase [EC:1.1.1.309]	R09478
K12903	rxn15827;rxn39924	(S)-2-hydroxypropylphosphonic acid epoxidase [EC:1.11.1.23]	R08863
K12906	rxn15829	D-3-phosphoglycerate dehydrogenase	R08865
K12905	rxn21140;rxn15828	2-hydroxyethylphosphonate dioxygenase [EC:1.13.11.72]	R08864
K00911	rxn02460	1D-myo-inositol-triphosphate 3-kinase [EC:2.7.1.127]	R03433
K00912	rxn03181	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	R04657
K00904	rxn01444	deoxyguanosine kinase [EC:2.7.1.113]	R01967
K00902	rxn05920	dolichol kinase [EC:2.7.1.108]	R01018
K12911	rxn13979	peptide synthetase PhsA	R08872
K12910	rxn13965	2-phosphinomethylmalate synthase [EC:2.3.3.18]	R08870
K12913	rxn13979	peptide synthetase PhsC	R08872
K12912	rxn13979	peptide synthetase PhsB	R08872
K12919	rxn04470;rxn04469	cytochrome P450 monooxygenase 3	R06619;R06618
K12918	rxn04198;rxn04197;rxn04200	cytochrome P450 monooxygenase 2	R06325;R06324;R06327
K12915	rxn15831;rxn14310;rxn14181	phosphinothricin tripeptide acetyl hydrolase	R08876;R08874
K12914	rxn14352;rxn14047	P-methyltransferase [EC:2.1.1.326]	R08875;R08873
K12917	rxn04212;rxn04214	cytochrome P450 monooxygenase 1	R06341;R06339
K00900	rxn01971;rxn39359	6-phosphofructo-2-kinase [EC:2.7.1.105]	R02732
K00901	rxn39331;rxn06139	diacylglycerol kinase (ATP) [EC:2.7.1.107]	R02240
K00939	rxn00097;rxn01127	adenylate kinase [EC:2.7.4.3]	R00127;R01547;R11319
K00938	rxn02322	phosphomevalonate kinase [EC:2.7.4.2]	R03245
K00933	rxn01371	creatine kinase [EC:2.7.3.2]	R01881
K00934	rxn00396	arginine kinase [EC:2.7.3.3]	R00554
K00931	rxn00179	glutamate 5-kinase [EC:2.7.2.11]	R00239
K00932	rxn00985	propionate kinase [EC:2.7.2.15]	R01353
K00930	rxn01917	acetylglutamate kinase [EC:2.7.2.8]	R02649
K00928	rxn00337	aspartate kinase [EC:2.7.2.4]	R00480
K00929	rxn01236	butyrate kinase [EC:2.7.2.7]	R01688
K00926	rxn00114;rxn01016	carbamate kinase [EC:2.7.2.2]	R00150;R01395
K00927	rxn01100	phosphoglycerate kinase [EC:2.7.2.3]	R01512
K00925	rxn00225;rxn00985	acetate kinase [EC:2.7.2.1]	R01353;R00315
K00922	rxn06721	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta [EC:2.7.1.153]	R04545
K00923	rxn06366;rxn06972;rxn39392	phosphatidylinositol-4-phosphate 3-kinase [EC:2.7.1.154]	R03362;R05795
K00920	rxn06977	1-phosphatidylinositol-5-phosphate 4-kinase [EC:2.7.1.149]	R05803
K00921	rxn06976	1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]	R10951;R05802
K00991	rxn03907	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	R05633
K00999	rxn39311;rxn06046	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]	R01802
K00997	rxn06023	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	R01625
K00998	rxn06044	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]	R01800
K00995	rxn06045	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	R01801
K00993	rxn07100;rxn07261;rxn39322;rxn06811;rxn06092	ethanolaminephosphotransferase [EC:2.7.8.1]	R06364;R02057;R04920;R07384
K22305	rxn00420	phosphoserine phosphatase [EC:3.1.3.3]	R00582
K00994	rxn33407;rxn05971;rxn06812;rxn06652;rxn07266	diacylglycerol cholinephosphotransferase [EC:2.7.8.2]	R07389;R04321;R01321;R04922
K00980	rxn00621	glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]	R00856
K00981	rxn06043	phosphatidate cytidylyltransferase [EC:2.7.7.41]	R01799
K00988	rxn00096;rxn01184;rxn00380	sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53]	R01618;R00530;R00126
K00987	rxn06499	mRNA guanylyltransferase [EC:2.7.7.50]	R03828
K22316	rxn03150	ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73]	R04594
K00983	rxn02943;rxn00827;rxn15145;rxn15146	N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]	R04215;R01117
K12960	rxn16503	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	R09660
K08021	rxn04844	arachidonate 12-lipoxygenase (R-type) [EC:1.13.11.-]	R07038
K08022	rxn04859;rxn01164	arachidonate 15-lipoxygenase (second type) / 8-lipoxygenase (S-type) [EC:1.13.11.33 1.13.11.-]	R01593;R07053
K11646	rxn15749	3-dehydroquinate synthase II [EC:1.4.1.24]	R08569
K11645	rxn01870;rxn15116;rxn00786;rxn01334	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	R01829;R01068;R02568;R01070
K12972	rxn01013;rxn00324;rxn01011;rxn01831	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	R01392;R01388;R00465;R02527
K00957	rxn03373;rxn00379	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	R04929;R00529
K00958	rxn03373;rxn00379	sulfate adenylyltransferase [EC:2.7.7.4]	R04929;R00529
K00955	rxn03372;rxn03373;rxn00379;rxn00361	bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	R04929;R00529;R04928;R00509
K00956	rxn03373;rxn00379	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	R04929;R00529
K00953	rxn00122	FAD synthetase [EC:2.7.7.2]	R00161
K00954	rxn02175	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	R03035
K00951	rxn00303	GTP pyrophosphokinase [EC:2.7.6.5]	R00429
K00952	rxn02155;rxn00105	nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]	R03005;R00137
K00950	rxn02503	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	R03503
K00948	rxn15108;rxn00770	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	R01049
K00949	rxn00440	thiamine pyrophosphokinase [EC:2.7.6.2]	R00619
K00946	rxn00438	thiamine-monophosphate kinase [EC:2.7.4.16]	R00617
K12957	rxn00536;rxn02557;rxn07872	alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]	R03581;R08083;R00746
K11628	rxn15528;rxn39490;rxn15529	mycocerosic acid synthase [EC:2.3.1.111]	R05189;R11450
K11627	rxn14187	pyrrolysyl-tRNA synthetase [EC:6.1.1.26]	R08578
K00944	rxn00118;rxn00240	nucleoside-triphosphate--adenylate kinase [EC:2.7.4.10]	R00157;R00333
K00945	rxn01219;rxn00119;rxn00364	CMP/dCMP kinase [EC:2.7.4.25]	R00158;R01665;R00512
K00942	rxn00239;rxn01509	guanylate kinase [EC:2.7.4.8]	R00332;R02090
K00943	rxn01517;rxn01513	dTMP kinase [EC:2.7.4.9]	R02098;R02094
K00940	rxn01353;rxn01512;rxn00117;rxn14003;rxn00237;rxn01678;rxn01673;rxn00839;rxn00107;rxn00515;rxn00409;rxn02517	nucleoside-diphosphate kinase [EC:2.7.4.6]	R00156;R00124;R01137;R02326;R00139;R00722;R01857;R00570;R02331;R03530;R11895;R00330;R11894;R02093
K00941	rxn03108;rxn02484	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	R03471;R04509
K00979	rxn02405	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	R03351;R11396
K12922	rxn04181	taxane 13alpha-hydroxylase [EC:1.14.14.106]	R06308
K12921	rxn04179	taxadiene synthase [EC:4.2.3.17]	R06305
K12924	rxn04182	taxane 10beta-hydroxylase [EC:1.14.14.105]	R06309
K12923	rxn04180	taxadien-5alpha-ol O-acetyltransferase [EC:2.3.1.162]	R06307
K12920	rxn04468	GA4 desaturase	R06617
K12929	rxn01488	casbene synthase [EC:4.2.3.8]	R02064
K12926	rxn04184	10-deacetylbaccatin III 10-O-acetyltransferase [EC:2.3.1.167]	R06311
K12925	rxn04183	2alpha-hydroxytaxane 2-O-benzoyltransferase [EC:2.3.1.166]	R06310
K12928	rxn04186;rxn39686;rxn04188;rxn04187;rxn04185	aphidicolan-16beta-ol synthase/syn-copalyl-diphosphate synthase [EC:4.2.3.42 5.5.1.14]	R06315;R06314;R06313;R06312
K12927	rxn15607;rxn04177;rxn39682;rxn39684;rxn04175	abietadiene/neoabietadiene/copalyl diphosphate synthase [EC:4.2.3.18 4.2.3.132 5.5.1.12]	R06298;R06303;R06301
K00978	rxn00702	glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	R00956
K00975	rxn00695	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	R00948
K00976	rxn01431	fucose-1-phosphate guanylyltransferase [EC:2.7.7.30]	R01951
K00973	rxn01675	glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	R02328
K00974	rxn16221;rxn16223;rxn16220;rxn16219	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	R09384;R09386;R09382;R09383
K00971	rxn00641	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	R00885
K00972	rxn28025;rxn00293	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]	R00416
K00968	rxn01380;rxn01885	choline-phosphate cytidylyltransferase [EC:2.7.7.15]	R02590;R01890
K00969	rxn02155;rxn00105	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	R03005;R00137
K12933	rxn07667;rxn07668;rxn07669	anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase [EC:2.4.1.297]	R07877;R07879;R07878
K12932	rxn07676;rxn07675;rxn07674	anthocyanidin 3-O-glucoside-3'',6''-O-dimalonyltransferase [EC:2.3.1.-]	R07884;R07886;R07885
K12935	rxn04615	anthocyanin 5-O-glucoside-4'''-O-malonyltransferase [EC:2.3.1.214]	R06800
K12934	rxn04614;rxn07700	anthocyanin 5-O-glucoside-6'''-O-malonyltransferase [EC:2.3.1.172]	R06799;R07910
K12931	rxn04616;rxn04632;rxn07728	anthocyanin 3-O-glucoside-6''-O-malonyltransferase [EC:2.3.1.171]	R06801;R06817;R07938
K12930	rxn04389;rxn04391;rxn04390	anthocyanidin 3-O-glucosyltransferase [EC:2.4.1.115]	R06535;R06534;R06536
K12937	rxn16479;rxn07722	cyanidin-3-O-glucoside 2''-O-glucuronosyltransferase [EC:2.4.1.254]	R09635;R07932
K12936	rxn07720;rxn07721;rxn07673;rxn07734;rxn07672;rxn07670	anthocyanin 5-aromatic acyltransferase [EC:2.3.1.153]	R07883;R07882;R07931;R07930;R07944;R07880
K12939	rxn07713;rxn07703;rxn07702	anthocyanin 3'-O-beta-glucosyltransferase [EC:2.4.1.238]	R07913;R07912;R07923
K12938	rxn07698;rxn07699	anthocyanidin 5,3-O-glucosyltransferase [EC:2.4.1.-]	R07909;R07908
K00966	rxn00641	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	R00885
K00967	rxn02961;rxn01479	ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]	R04247;R02038
K00965	rxn00701	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	R00955
K00963	rxn00213	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	R00289
K21175	rxn13801	2-amino-4-deoxychorismate synthase, glutamine amidotransferase component [EC:2.6.1.86]	R08956
K21184	rxn40465	two-component FAD-dependent monooxygenase [EC:1.14.14.15 1.14.14.-]	R10731
K22492	rxn28387;rxn07390;rxn07389;rxn16595;rxn28386	beta-carotene 3-hydroxylase [EC:1.14.15.24]	R09747;R07558;R07559
K23790	rxn04895;rxn04833;rxn04919;rxn04831;rxn04887;rxn04916;rxn39402;rxn06401;rxn04894;rxn15652;rxn04873;rxn16246;rxn04811;rxn04872;rxn04809;rxn04810;rxn04830;rxn04903;rxn04832;rxn11808;rxn04896;rxn07181;rxn04886	glutathione S-transferase P [EC:2.5.1.18]	R07091;R03522;R09409;R07004;R07026;R07003;R07025;R07069;R07113;R07002;R07024;R07023;R07100;R07116;R07084;R07083;R07094;R07093;R07070;R07092;R11905;R08280
K21130	rxn37384;rxn37385	GDP-L-colitose synthase [EC:1.1.1.356]	R10421;R10420
K21138	rxn00242	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [EC:3.1.7.2]	R00336
K09482	rxn10534	glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]	R03905
K09483	rxn01188	3-dehydroshikimate dehydratase [EC:4.2.1.118]	R01627
K09480	rxn06700;rxn39462	digalactosyldiacylglycerol synthase [EC:2.4.1.241]	R04469
K09484	rxn01363	quinate dehydrogenase [EC:1.1.1.24]	R01872
K22474	rxn16323	alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]	R09479
K21142	rxn16232	MoaE-MoaD fusion protein [EC:2.8.1.12]	R09395
K22473	rxn16323	alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]	R09479
K09479	rxn00946;rxn02803	very long chain acyl-CoA dehydrogenase [EC:1.3.8.9]	R03990;R01279
K21148	rxn40360	[CysO sulfur-carrier protein]-thiocarboxylate-dependent cysteine synthase [EC:2.5.1.113]	R10610
K21147	rxn07291;rxn07293	sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]	R07459;R07461
K22478	rxn01917;rxn00192	bifunctional N-acetylglutamate synthase/kinase [EC:2.3.1.1 2.7.2.8]	R00259;R02649
K22477	rxn00192	N-acetylglutamate synthase [EC:2.3.1.1]	R00259
K09478	rxn06334;rxn03251;rxn00872;rxn39382;rxn14277	short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]	R01175;R02661;R04751;R03172
K22476	rxn00192	N-acetylglutamate synthase [EC:2.3.1.1]	R00259
K22440	rxn16633	naringenin 7-O-methyltransferase [EC:2.1.1.232]	R09791
K21114	rxn16430	steroid 15beta-monooxygenase [EC:1.14.15.8]	R09587
K21120	rxn39921;rxn15787	1,8-cineole 2-endo-monooxygenase [EC:1.14.14.133]	R08784
K22451	rxn06096;rxn15532;rxn15533	4-alpha-glucanotransferase [EC:2.4.1.25]	R02111;R05196
K22450	rxn02084	aralkylamine N-acetyltransferase [EC:2.3.1.87]	R02911
K22457	rxn05984	asparagine---oxo-acid transaminase [EC:2.6.1.14]	R01346
K21195	rxn40458	2-aminoethylphosphonate dioxygenase [EC:1.14.11.46]	R10724
K21196	rxn40456	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) [EC:1.13.11.78]	R10722
K11703	rxn02423	collagen beta-1,O-galactosyltransferase [EC:2.4.1.50]	R03380
K11778	rxn15542	ditrans,polycis-polyprenyl diphosphate synthase [EC:2.5.1.87]	R05556
K23756	rxn15699;rxn07584;rxn00873	medium-chain acyl-CoA ligase / lipoate-activating enzyme [EC:6.2.1.2]	R01176;R07770
K22427	rxn00497	phenylalanine decarboxylase [EC:4.1.1.53]	R00699
K11783	rxn14263	futalosine hydrolase [EC:3.2.2.26]	R08587
K11782	rxn40410	chorismate dehydratase [EC:4.2.1.151]	R10666
K11788	rxn02937;rxn02895	phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]	R04144;R04208
K11785	rxn15755	1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]	R08589
K11784	rxn39912;rxn15754	cyclic dehypoxanthinyl futalosine synthase [EC:1.21.98.1]	R08588
K11787	rxn03005;rxn02937;rxn03004;rxn02895	phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1]	R04144;R04325;R04326;R04208
K22435	rxn12125	4-hydroxytryptamine kinase [EC:2.7.1.222]	R11933;R08480
K22433	rxn00484	L-tryptophan decarboxylase [EC:4.1.1.105]	R11932;R00685
K22437	rxn01546	carnosine N-methyltransferase [EC:2.1.1.22]	R02144
K09471	rxn05124	gamma-glutamylputrescine oxidase [EC:1.4.3.-]	R07415
K09472	rxn05127;rxn05126	4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]	R07418;R07417
K09470	rxn05123	gamma-glutamylputrescine synthase [EC:6.3.1.11]	R07414
K09473	rxn05128	gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]	R07419
K09474	rxn00391	acid phosphatase (class A) [EC:3.1.3.2]	R00548
K11755	rxn02835;rxn02834	phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]	R04037;R04035
K11752	rxn02475;rxn02474	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	R03459;R03458
K11751	rxn01218;rxn00363;rxn02400;rxn01521;rxn00708;rxn00831;rxn00913;rxn01145;rxn01961;rxn01445;rxn01507;rxn00132;rxn01670	5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]	R01968;R02719;R01664;R02323;R03346;R01126;R00511;R00963;R01227;R01569;R00183;R02088;R02102
K11754	rxn27860;rxn00689;rxn01603;rxn15454	dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	R04241;R02237;R00942
K11753	rxn00122;rxn00392	riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	R00549;R00161
K09469	rxn02900	2-aminoethylphosphonate-pyruvate transaminase	R04152
K09460	rxn00723	anthranilate-CoA ligase [EC:6.2.1.32]	R00982
K09461	rxn02808;rxn02809	anthraniloyl-CoA monooxygenase [EC:1.14.13.40]	R03998;R03999
K10437	rxn39501;rxn03783	phenylacetate 2-hydroxylase [EC:1.14.14.54]	R05487
K10438	rxn01823	3-hydroxyphenylacetate 6-hydroxylase [EC:1.14.13.63]	R02517
K09457	rxn39829;rxn07436	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	R07605
K09458	rxn05346;rxn05348;rxn40018;rxn07576;rxn05347;rxn40014;rxn05345;rxn06238;rxn05344;rxn05343;rxn05350	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	R07762;R10115;R04355;R04960;R04952;R04963;R02768;R10119;R04726;R04957;R04968
K22417	rxn11964	benzaldehyde dehydrogenase (NAD+) / indole-3-acetaldehyde oxidase [EC:1.2.1.28 1.2.3.7]	R02681
K23741	rxn39765	endoplasmic reticulum Man9GlcNAc2 1,2-alpha-mannosidase [EC:3.2.1.209]	R06722
K09459	rxn02845	phosphonopyruvate decarboxylase [EC:4.1.1.82]	R04053
K11731	rxn07878	citronellyl-CoA dehydrogenase [EC:1.3.99.-]	R08089
K23727	rxn07108;rxn06012	sphingoid base N-palmitoyltransferase [EC:2.3.1.291]	R01496;R06517
K08100	rxn01724	bilirubin oxidase [EC:1.3.3.5]	R02394
K08101	rxn11991	phytochromobilin:ferredoxin oxidoreductase [EC:1.3.7.4]	R03678
K11717	rxn06421	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	R03599;R11528
K23700	rxn06804;rxn06515;rxn06805	[histone H3]-lysine36 N-trimethyltransferase [EC:2.1.1.359]	R03875;R04866;R04867
K21292	rxn04165;rxn23455;rxn04166;rxn04167	ent-kaurene oxidase [EC:1.14.14.86]	R06292;R06291;R10066;R06293
K21275	rxn13477	hexaprenyl-diphosphate synthase large subunit [EC:2.5.1.83]	R09245
K21274	rxn13477	hexaprenyl-diphosphate synthase small subunit [EC:2.5.1.83]	R09245
K21273	rxn16579	trans,polycis-polyprenyl diphosphate synthase [EC:2.5.1.88]	R09731
K21289	rxn06721	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [EC:2.7.1.153]	R04545
K08281	rxn00938	nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	R01268
K22588	rxn02244	acetylserotonin O-methyltransferase, plant [EC:2.1.1.4]	R03130
K22596	rxn01981;rxn06472	gamma-glutamylcyclotransferase, plant [EC:4.3.2.9]	R02743;R03749
K21268	rxn16107	hexaprenyl diphosphate synthase [EC:2.5.1.82]	R09246
K22567	rxn39316;rxn06071	rubredoxin---NAD+ reductase [EC:1.18.1.1]	R02000
K22568	rxn00533;rxn01355	acetyl-CoA/propionyl-CoA carboxylase, PccX subunit [EC:6.4.1.2 6.4.1.3]	R01859;R00742
K08295	rxn00723	2-aminobenzoate-CoA ligase [EC:6.2.1.32]	R00982
K08298	rxn08254;rxn40390	L-carnitine CoA-transferase [EC:2.8.3.21]	R10643;R10644
K08299	rxn08258	crotonobetainyl-CoA hydratase [EC:4.2.1.149]	R10675
K08289	rxn03005;rxn03004	phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]	R04325;R04326
K11813	rxn14002	tryptophan N-monooxygenase [EC:1.14.14.156]	R08160
K11812	rxn14002	tryptophan N-monooxygenase [EC:1.14.14.156]	R08160
K11819	rxn12019;rxn14068;rxn13991;rxn14339;rxn14130	S-alkyl-thiohydroximate lyase SUR1 [EC:4.4.1.-]	R08667;R08686;R08654;R08660;R08170
K11818	rxn40415;rxn40413;rxn12018;rxn14331;rxn14259;rxn14354	aromatic aldoxime N-monooxygenase [EC:1.14.14.45]	R08168;R08653;R10672;R10670;R08659
K11817	rxn11964	indole-3-acetaldehyde oxidase [EC:1.2.3.7]	R02681
K11816	rxn28899	indole-3-pyruvate monooxygenase [EC:1.14.13.168]	R10181
K11822	rxn16281	bile-salt sulfotransferase [EC:2.8.2.14]	R09444
K11821	rxn11704;rxn14025;rxn14362;rxn02300;rxn14133	aromatic desulfoglucosinolate sulfotransferase [EC:2.8.2.24]	R08167;R08669;R08662;R03214;R08671
K11820	rxn11701;rxn02299;rxn14074	N-hydroxythioamide S-beta-glucosyltransferase [EC:2.4.1.195]	R08668;R03213;R08164
K11808	rxn02938	phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]	R04209
K11809	rxn39305;rxn01215	glucose-1,6-bisphosphate synthase [EC:2.7.1.106]	R01660
K21219	rxn23042;rxn02484;rxn02305;rxn03108	hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]	R03471;R10712;R04509;R03223
K08243	rxn07219	polyketide reductase	R06568
K08241	rxn04012	jasmonate O-methyltransferase [EC:2.1.1.141]	R05759
K08242	rxn04028	24-methylenesterol C-methyltransferase [EC:2.1.1.143]	R05776
K10566	rxn07454	phenylacetaldoxime dehydratase [EC:4.99.1.7]	R07638
K22541	rxn05331;rxn05330;rxn05335;rxn05334;rxn17757;rxn05332;rxn05329;rxn05333	3-hydroxyacyl-thioester dehydratase, fungi type [EC:4.2.1.-]	R04544;R04954;R04965;R04537;R04535;R04568;R04428;R10208
K22540	rxn05331;rxn05330;rxn05335;rxn05334;rxn17757;rxn05332;rxn05329;rxn05333	3-hydroxyacyl-thioester dehydratase, animal type [EC:4.2.1.-]	R04544;R04954;R04965;R04537;R04535;R04568;R04428;R10208
K22548	rxn03037	trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]	R04374
K10572	rxn03519	inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]	R05202
K08232	rxn00071	monodehydroascorbate reductase (NADH) [EC:1.6.5.4]	R00095
K08233	rxn04058	polyneuridine-aldehyde esterase [EC:3.1.1.78]	R05825
K22552	rxn00056	multicopper oxidase [EC:1.16.3.1]	R00078
K21220	rxn23042;rxn02305	thiamine-phosphate diphosphorylase [EC:2.5.1.3]	R10712;R03223
K22554	rxn16288	acyl-coenzyme A thioesterase THEM5 [EC:3.1.2.2]	R09450
K22553	rxn05960	4-methoxybenzoate monooxygenase (O-demethylating) [EC:1.14.99.15]	R01306
K08261	rxn02092	D-sorbitol dehydrogenase (acceptor) [EC:1.1.99.21]	R02925
K08262	rxn06955	acyl-lipid delta12-acetylenase [EC:1.14.19.39]	R05740
K09590	rxn39810;rxn39809;rxn39808;rxn39812;rxn07283;rxn07284;rxn07289;rxn07290;rxn07288;rxn40412;rxn39811	brassinosteroid-6-oxidase 1 [EC:1.14.-.-]	R07455;R07458;R07457;R07451;R07450;R10669
K08260	rxn03541	adenosylcobinamide hydrolase [EC:3.5.1.90]	R05226
K09591	rxn07273;rxn07280	steroid 5-alpha-reductase [EC:1.3.1.22]	R07447;R07429
